code,stadt,bundesland,behoerde_name,plz,ort,strasse,telefon,email
08126-,Künzelsau,BW,LRA Hohenlohekreis,74653,Künzelsau,Allee 17,07940 18 500,KFZPOST@Hohenlohekreis.de
07336-,Kusel,RP,LK Kusel,66869,Kusel,Trierer Str. 49-51,06381-424 0,kfz-stelle@kv-kus.de
07141-1,Lahnstein,RP,Stadt Lahnstein,56112,Lahnstein,Westallee 5,-,servicecenter@lahnstein.de
07141-e2,Lahnstein a. Rh.,RP,LK Rhein-Lahn-Kreis Nebenstelle,56112,Lahnstein,Westallee 5-7,02621-914-700,servicecenter@lahnstein.de
08317-e3,Lahr,BW,LRA Ortenaukreis Nebenstelle,77933,Lahr,Raiffeisenstr. 9,07821-92373-30,zulassungsbehoerde@ortenaukreis.de
07332-e3,Lambrecht,RP,LK Bad Dürkheim Nebenstelle,67466,Lambrecht,Sommerbergstr. 3,06322-961-330,info@kreis-bad-duerkheim.de
07313-,Landau,RP,Stadt Landau,76829,Landau,An der Kreuzmühle 2,06341-940 309,kfz.zulassung@suedliche-weinstrasse.de
09279-e1,Landau a.d. Isar,BY,LRA Dingolfing-Landau Nebenstelle,94405,Landau a.d.Isar,Viehmarktstr. 3,09951-2922,zulassungsstelle@landkreis-dingolfing-landau.de
07337-,Landau i. d. Pfalz,RP,LK Südliche Weinstraße,76829,Landau,An der Kreuzmühle 2,06341-940-309,info@suedliche-weinstrasse.de
09181-,Landsberg am Lech,BY,LRA Landsberg am Lech,86899,Landsberg am Lech,Von-Kühlmann-Str. 15,08191-129-1336,zulassungsstelle@lra-ll.bayern.de
09274-,Landshut(Land),BY,LRA Landshut,84051,Essenbach,Josef-Neumeier-Allee 1,08703-9073-3411,zulassung@landkreis-landshut.de
09261-,Landshut(Stadt),BY,Stadt Landshut,84030,Landshut,Alte Regensburger Str. 11,0871-88-2545,kfz-zulassungsstelle@landshut.de
06438-e1,Langen,HE,LK Offenbach Nebenstelle,63225,Langen,Südliche Ringstr. 80,06103-203-770,buergerbuero@langen.de
08425-e2,Langenau,BW,LK Alb-Donau-Kreis Nebenstelle,89129,Langenau,Kuftenstr. 19,07345-9640-761,zulassungsstelle.langenau@alb-donau-kreis.de
05158-e1,Langenfeld,NW,LK Mettmann Nebenstelle,40764,Langenfeld,Konrad-Adenauer-Platz 1,02173-98865-0,sva.langenfeld@kreis-mettmann.de
09574-,Lauf an der Pegnitz,BY,LRA Nürnberger Land,91207,Lauf a.d.Pegnitz,Waldluststr. 1,09123-950-6348,zulassung@nuernberger-land.de
06535-,Lauterbach,HE,LK Vogelsbergkreis,36341,Lauterbach,Bahnhofstr. 79,06641-977-971,zulassung@vogelsbergkreis.de
03457-,Leer,NI,LK Leer,26789,Leer,Deichstr. 26,0491-926-1410,kfz@lkleer.de
14713-,Leipzig(Stadt),SN,Stadt Leipzig,04317,Leipzig,Prager Str. 136,0341-123-8464,zulassung@leipzig.de
05966-e1,Lennestadt,NW,LK Olpe Nebenstelle,57368,Lennestadt,Thomas-Morus-Platz 1,02723-608-474,kfz-zulassung@kreis-Olpe.de
09176-e2,Lenting,BY,LRA Eichstätt Nebenstelle,85101,Lenting,Bahnhofstraße 16,08421-70-4001,zulassung@lra-ei.bayern.de
08115-e2,Leonberg,BW,LRA Böblingen Nebenstelle,71229,Leonberg,Rutesheimer Str. 50/8,07152-3001 3,zulassung@lrabb.de
08436-e2,Leutkirch,BW,LRA Ravensburg Nebenstelle,88299,Leutkirch im Allgäu,Wangener Str. 70,075185-1414,buergerbuero@rv.de
05316-,Leverkusen,NW,Stadt Leverkusen,51379,Leverkusen,Haus-Vorster-Str. 8,0214-406-36413,zulassung@stadt.leverkusen.de
09478-,Lichtenfels,BY,LRA Lichtenfels,96215,Lichtenfels,Kronacher Str. 28-30,09571-18-9010,zulassungsstelle@lra-lif.bayern.de
06533-,Limburg-Weilburg,HE,LK Limburg-Weilburg,65549,Limburg,Westerwaldstr. 111,06431-296-716,zulassung@limburg-weilburg.de
09776-,Lindau,BY,LRA Lindau,88131,Lindau,Heuriedweg 38,08382-961-340,zulassungsstelle@lra-li.bayern.de
03454-e2,Lingen,NI,LK Emsland Nebenstelle,49808,Lingen,Am Wall Süd 21,05931-84-3304,landkreis@emsland.de
05111-1,Linnich,NW,LZDP NRW,52441,Linnich,Rurallee 20,0203-4175-33480,ZenZuPol.LZPD@polizei.nrw.de
06435-,Linsengericht,HE,LRA Main-Kinzig-Kreis,63589,Linsengericht,Im Niederfeld,06051-85-14240,zulassung@mkk.de
05974-e1,Lippstadt,NW,LK Soest Nebenstelle,59558,Lippstadt,Mastholter Str. 230b,02921-30-3610,zulassungen-lippstadt@kreis-soest.de
09677-e1,Lohr am Main,BY,LRA Main-Spessart Nebenstelle,97816,Lohr a. Main,Schloßplatz 1,09353-793-2100,zulassungsstelle@lramsp.de
08336-,Lörrach,BW,LRA Lörrach,79539,Lörrach,Brombacher Str. 93,07621-410-3460,kfzzulassung@loerrach-landkreis.de
05770-e1,Lübbecke,NW,LK Minden Lübbecke Nebenstelle,32312,Lübbecke,Westerbachstraße 31,0571 80715840,zulassung@minden-luebbecke.de
12061-e1,Lübben,BB,LK Dahme-Spreewald Nebenstelle,15907,Lübben,Weinbergstr. 1,03546-2019-11,strassenverkehrsamt@dahme-spreewald.de
01003-,Lübeck,SH,Stadt Lübeck,23566,Lübeck,Meesenring 7,0451-122-3330,kfz-zulassungsbehoerde@luebeck.de
03354-,Lüchow-Dannenberg,NI,LK Lüchow-Dannenberg,29439,Lüchow,Königsberger Str. 10,05841-120-709,info@luechow-dannenberg.de
12072-,Luckenwalde,BB,LK Teltow-Fläming,14943,Luckenwalde,Louis-Pasteur-Str. 5,03377-305-851,strassenverkehrsamt@teltow-flaeming.de
05962-e2,Lüdenscheid,NW,Märkischer Kreis Nebenstelle,58509,Lüdenscheid,Heedfelder Str. 45,02351-966-60,buergerbuero-ld@maerkischer-kreis.de
05558-e1,Lüdinghausen,NW,LK Coesfeld Nebenstelle,59348,Lüdinghausen,Selmer Straße 75,02591-9183-3630,kfz.zulassung@kreis-coesfeld.de
08118-,Ludwigsburg,BW,LRA Ludwigsburg,71638,Ludwigsburg,Hindenburgstr. 40,07141-144-2066,kfz.zulassung@landkreis-ludwigsburg.de
07338-,Ludwigshafen,RP,LK Rhein-Pfalz-Kreis,67063,Ludwigshafen,Europaplatz 5,0621-5909-6081,zulassung@rheinpfalzkreis.de
07314-,Ludwigshafen(Stadt),RP,Stadt Ludwigshafen,67065,Ludwigshafen am Rhein,Achtmorgenstr. 9,0621-504-2421,kfz-zulassung@ludwigshafen.de
13076-,Ludwigslust,MV,LK Ludwigslust-Parchim,19288,Ludwigslust,Garnisonsstr. 1,03871-115,Buergerservice@kreis-lup.de
03355-,Lüneburg,NI,LK Lüneburg,21335,Lüneburg,Am Springintgut 3,04131-26-1239,zulassung@landkreis-lueneburg.de
05978-e1,Lünen,NW,LK Unna Nebenstelle,44532,Lünen,Viktoriastr. 5,02306-100-350,zulassungsstelle@kreis-unna.de
15003-,Magdeburg,ST,Stadt Magdeburg,39114,Magdeburg,Tessenowstr. 15,0391-540-4404,strassenverkehrsabteilung@magdeburg.de
09273-e1,Mainburg,BY,LRA Kelheim Nebenstelle,84048,Mainburg,Regensburger Str. 1,08751-865-121,pia.heinrich@lra-keh.bayern.de
07315-,Mainz,RP,Stadt Mainz,55129,Mainz,Elly-Beinhorn-Str. 16,06131-12-2424,Zulassungsstelle@stadt.mainz.de
07339-,Mainz-Bingen,RP,LK Mainz-Bingen,55411,Bingen am Rhein,Alfred-Nobel-Str. 2a,06721-9171-0,kfz@mainz-bingen.de
08222-,Mannheim,BW,Stadt Mannheim,68163,Mannheim,Gerd-Dehof-Platz 1,0621-293-6850,buergerservice@mannheim.de
06534-,Marburg-Biedenkopf,HE,LK Marburg-Biedenkopf,35043,Marburg-Cappel,Im Lichtenholz 60,06421-405-0,kfz-zulassung@marburg-biedenkopf.de
14521-e2,Marienberg,SN,LRA Erzgebirgskreis Nebenstelle,09496,Marienberg,Schillerlinde 6,03735-601-5397,zulassungsbehoerde@kreis-erz.de
09677-e2,Marktheidenfeld,BY,LRA Main-Spessart Nebenstelle,97828,Marktheidenfeld,Petzoltstr. 21,09353-793-3102,verkehrsbehoerde@lramsp.de
09777-,Marktoberdorf,BY,LRA Ostallgäu,87616,Marktoberdorf,Schwabenstr. 11,08342-911-444,buergerservice@lra-oal.bayern.de
05562-e1,Marl,NW,LK Recklinghausen Nebenstelle,45770,Marl,Stettiner Str. 10,02361-53-7012,strassenverkehrsamt@kreis-re.de
07137-e2,Mayen,RP,LK Mayen-Koblenz Nebenstelle,56727,Mayen,Auf der Eich 40,02651-8003-60,kfzzulassungmayen@kvmyk.de
07137-,Mayen-Koblenz,RP,LK Mayen-Koblenz,56068,Koblenz,Bahnhofstr. 9,0261-108-310,kfzzulassungkoblenz@kvmyk.de
05382-e1,Meckenheim,NW,LK Rhein-Sieg-Kreis Nebenstelle,53340,Meckenheim,Kalkofenstr. 2,02225-9409-5030,kfz-zulassung@rhein-sieg-kreis.de
05162-e3,Meerbusch,NW,LK Rhein-Kreis Neuss Nebenstelle,40667,Meerbusch (Büderich),Dorfstr. 20,02132-916-370,strassenverkehrsamt@rhein-kreis-neuss.de
16066-,Meiningen,TH,LRA Schmalkalden-Meiningen,98617,Meiningen,Charlottenstraße 5a,03693-485 7100,zulassung@lra-sm.de
14627-,Meißen,SN,LK Meißen,01662,Meißen,Brauhausstr. 21,03521-725-1502,kreisverkehrsamt@kreis-meissen.de
03459-e4,Melle,NI,LK Osnabrück Nebenstelle,49324,Melle,Schürenkamp 16,05422-965-0,zulassungsstelle@stadt-melle.de
09673-e2,Mellrichstadt,BY,LRA Rhön-Grabfeld Nebenstelle,97638,Mellrichstadt,Hauptstr. 4,09776-466,kfz@rhoen-grabfeld.de
06634-e2,Melsungen,HE,LK Schwalm-Eder-Kreis Nebenstelle,34212,Melsungen,Sandstr. 13,05661-708-205,zulassungsstelle@melsungen.de
09764-,Memmingen,BY,Stadt Memmingen,87700,Memmingen,St.-Ulrich-Platz 1,08331-850310,zulassung@memmingen.bayern.de
09778-e1,Memmingen,BY,LRA Unterallgäu Nebenstelle,87700,Memmingen,Herrenstr. 15,08331-8203-0,kfz@lra-mn.bayern.de
03454-e3,Meppen,NI,LK Emsland,49716,Meppen,Ordeniederung 1,05931-44-0,landkreis@emsland.de
15088-,Merseburg,ST,LK Saalekreis,06217,Merseburg,Weißenfelser Str. 46a-c,03461-40-1801,strassenverkehrsamt@saalekreis.de
10042-,Merzig-Wadern,SL,LK Merzig-Wadern,66663,Merzig,Bahnhofstr. 44,06861-80-300,zulassung@merzig-wadern.de
05958-e3,Meschede,NW,Hochsauerlandkreis,59872,Meschede,Steinstr. 27,0291-94-0,kfz-zulassung-ar@hochsauerlandkreis.de
05158-,Mettmann,NW,LK Mettmann,40822,Mettmann,Düsseldorfer Str. 26,02104-99-0,sva-stabsstelle@kreis-mettmann.de
09182-,Miesbach,BY,LRA Miesbach,83714,Miesbach,Rosenheimer Str. 4,08025-704-3120,zulassung@lra-mb.bayern.de
09676-,Miltenberg,BY,LRA Miltenberg,63897,Miltenberg,Brückenstr. 2,09371-501-153,zulassung@lra-mil.bayern.de
09778-,Mindelheim,BY,LRA Unterallgäu,87719,Mindelheim,Bad Wörishofer Str. 33,08261-995-0,kfz@lra-mn.bayern.de
05770-,Minden-Lübbecke,NW,LK Minden-Lübbecke,32423,Minden,Portastr. 21,0571-807-0,strassenverkehrsamt@minden-luebbecke.de
14522-e2,Mittweida,SN,LK Mittelsachsen Nebenstelle,09648,Mittweida,Am Landratsamt 3,03727-950-6674,kfz.zulassung@landkreis-mittelsachsen.de
05170-e1,Moers,NW,LK Wesel Nebenstelle,47441,Moers,Mühlenstr. 15,02841-202-1234,zs@kreis-wesel.de
05116-,Mönchengladbach,NW,Stadt Mönchengladbach,41065,Mönchengladbach,Rheinstr. 70,02161-686-4510,zulassungsbehoerde@moenchengladbach.de
07143-,Montabaur,RP,LK Westerwaldkreis,56410,Montabaur,Peter-Altmeier-Platz 1,02602-124-330,zulassungsstelle@westerwaldkreis.de
09178-1,Moosburg a. d. Isar,BY,Stadt Moosburg a.d. Isar,85368,Moosburg a.d.Isar,Sudetenlandstr. 14,08761-684-23,zulassung@moosburg.de
07231-e2,Morbach,RP,LK Bernkastel-Wittlich Nebenstelle,54497,Morbach,Bahnhofstr. 19,06533-71-203,zulassungsbehoerde@bernkastel-wittlich.de
08236-e1,Mühlacker,BW,LRA Enzkreis Nebenstelle,75417,Mühlacker,Vetterstr. 21,07041-9583-10,zulassungsbehoerde@enzkreis.de
09183-,Mühldorf a.Inn,BY,LRA Mühldorf a.Inn,84453,Mühldorf a.Inn,Nordtangente 10b,08631-699-606,zulassung@lra-mue.de
16064-,Mühlhausen,TH,LRA Unstrut-Hainich-Kreis,99974,Mühlhausen,Lindenhof 1,03601-801627,kfz@uh-kreis.de
06438-e2,Mühlheim am Main,HE,LK Offenbach Nebenstelle,63165,Mühlheim a.Main,Friedensstr. 20,06108-601-950,zulassungsstelle@stadt-muehlheim.de
05117-,Mülheim a.d. Ruhr,NW,Stadt Mülheim a.d.Ruhr,45468,Mülheim a.d.Ruhr,Löhstr. 22-26,0208-455-0,buergeramt@muelheim-ruhr.de
08315-e1,Müllheim,BW,LRA Breisgau-Hochschwarzwald Nebenstelle,79379,Müllheim,Bismarckstr. 3,0761 2187-6313,kfzzulassung@lkbh.de
09162-,München(Stadt),BY,Stadt München,80686,München,Eichstätter Str. 2,089-233-96090,zulassung.kvr@muenchen.de
08415-e1,Münsingen,BW,LRA Reutlingen Nebenstelle,72525,Münsingen,Schloßhof 1,07381-9397-7421,kfz-zulassung@kreis-reutlingen.de
05515-,Münster,NW,Stadt Münster,48157,Münster,Rudolf-Diesel-Str. 5-7,0251-492-3511,kfz-zulassung@stadt-muenster.de
07141-e3,Nastätten,RP,LK Rhein-Lahn-Kreis Nebenstelle,56355,Nastätten,Pestalozzistr. 2,06772-962-145,kvbadems@rhein-lahn.rlp.de
15084-,Naumburg,ST,LK Burgenlandkreis,06618,Naumburg (Saale),Schönburger Str. 41,03445-73-1515,strassenverkehrsamt@blk.de
08225-,Neckar Odenwaldkreis,BW,LRA Neckar-Odenwald-Kreis,74821,Mosbach,Neckarelzerstr. 7,06261-8413-31,strassenverkehrsbehoerde@neckar-odenwald-kreis.de
13071-3,Neubrandenburg,MV,Stadt Neubrandenburg,17033,Neubrandenburg,Friedrich-Engels-Ring 53,0395-555-1224,kfz@neubrandenburg.de
13071-1,Neubrandenburg,MV,LK Mecklenburgische Seenplatte,17033,Neubrandenburg,Friedrich-Engels-Ring 53,0395-57087-3417,zulassung@lk-seenplatte.de
09185-,Neuburg-Schrobenhausen,BY,LRA Neuburg-Schrobenhausen,86633,Neuburg a.d.Donau,Platz der Deutschen Einheit 1,08431-57-0,zulassungsstelle@lra-nd.bayern.de
09373-,Neumarkt,BY,LRA Neumarkt i.d.Opf.,92318,Neumarkt i.d.Opf.,Nürnberger Str. 1,09181-470-470,kfzmitteilungen@landkreis-neumarkt.bayern.de
01004-,Neumünster,SH,Stadt Neumünster,24534,Neumünster,Plöner Str. 27,04321-942-2460,zulassungsstelle@neumuenster.de
10043-,Neunkirchen,SL,LK Neunkirchen,66538,Neunkirchen,Saarbrücker Str. 1,06824-906-7011,kfz@landkreis-neunkirchen.de
12068-,Neuruppin,BB,LK Ostprignitz-Ruppin,16816,Neuruppin,Heinrich-Rau-Str. 27-30,03391-688-3631,kfz@opr.de
05162-,Neuss,NW,LK Rhein-Kreis Neuss,41460,Neuss,Oberstr. 91,02131-928-9090,strassenverkehrsamt@rhein-kreis-neuss.de
09374-,Neustadt a. d. Waldnaab,BY,LRA Neustadt a.d.Waldnaab,92660,Neustadt a.d. Waldnaab,Stadtplatz 38,09602-7933-11,verkehrswesen@lra-new.bayern.de
07316-,Neustadt a. d. Weinstr.,RP,Stadt Neustadt a.d. Weinstraße,67433,Neustadt a.d.Weinstraße,Hindenburgstr. 9a,06321-855-420,kfz-zulassung@neustadt.eu
09575-,Neustadt a.d.Aisch,BY,LRA Neustadt a.d.Aisch,91413,Neustadt a.d.Aisch,Konrad-Adenauer Str. 1,09161-92-3311,verkehrswesen@kreis-nea.de
13071-e2,Neustrelitz,MV,LK Mecklenburgische Seenplatte Nebenstelle,17235,Neustrelitz,Woldegker Chaussee 35,0395-57087-3700,buergerbuero-ntz@lk-seenplatte.de
09775-,Neu-Ulm,BY,LRA Neu-Ulm,89231,Neu-Ulm,Kantstr. 8,0731-7040-0,zulassungsstelle@lra.neu-ulm.de
07138-,Neuwied(Land),RP,LK Neuwied,56564,Neuwied,Wilhelm-Leuschner-Str. 9,02631-803-245,zulassung@kreis-neuwied.de
07138-1,Neuwied(Stadt),RP,Stadt Neuwied,56564,Neuwied,Engerser Landstr. 17,02631-802-777,buergerbuero@neuwied.de
06440-e3,Nidda,HE,LK Wetteraukreis Nebenstelle,63667,Nidda,Wilhelm-Eckhardt-Platz,06043-8006-121,kfz@nidda.de
01054-e1,Niebüll,SH,LK Nordfriesland Nebenstelle,25899,Niebüll,Gather Landstr. 75,04661-903-1168,info@nordfriesland.de
03256-,Nienburg,NI,LK Nienburg a.d.Weser,31582,Nienburg a.d.Weser,Kräher Weg 60,05021-967-700,kfz@kreis-ni.de
03452-e1,Norden,NI,LK Aurich Nebenstelle,26506,Norden,Stellmacher Str. 23,04941-16-3630,ingrid.evers@landkreis-aurich.de
01060-e1,Norderstedt,SH,LK Segeberg Nebenstelle,22844,Norderstedt,Oststr. 20,04551-951-8600,norderstedt-zulassung@segeberg.de
16062-,Nordhausen,TH,LRA Nordhausen,99734,Nordhausen,Behringstraße 3,03631-911-9119,bsz-info@lrandh.thueringen.de
09779-e1,Nördlingen,BY,LRA Donau-Ries Nebenstelle,86720,Nördlingen,Bürgermeister-Reiger-Straße 5,0906-74-6821,zulassungsbehoerde@lra-donau-ries.de
03155-,Northeim,NI,LK Northeim,37154,Northeim,von-Menzel-Str. 7,05551-708-81529,zulassungsbehoerde@landkreis-northeim.de
09564-,Nürnberg,BY,Stadt Nürnberg,90489,Nürnberg,Rathenauplatz 18,0911-231-0,oa1@stadt.nuernberg.de
09564-e1,Nürnberg - Ost,BY,Stadt Nürnberg-Ost Nebenstelle,90475,Nürnberg,Fischbacher Hauptstr. 121,0911-231-3924,bao@stadt.nuernberg.de
09564-e2,Nürnberg - Süd,BY,Stadt Nürnberg-Süd Nebenstelle,90455,Nürnberg,Hans-Traut-Str. 8,0911-231-3687,bas-zulassung@stadt.nuernberg.de
05119-,Oberhausen,NW,Stadt Oberhausen,46145,Oberhausen,Bahnhofstr. 66,0208-825-9007,zulassungsstelle@oberhausen.de
06432-e4,Ober-Ramstadt,HE,LK Darmstadt-Dieburg Nebenstelle,64372,Ober-Ramstadt,Darmstädter Str. 66-68,06154-702-83,kfz-zulassung@ladadi.de
12066-,Oberspreewald-Lausitz,BB,LK Oberspreewald-Lausitz,03205,Calau,Cottbusser Str. 26,03541-870-3200,kfz-zulassung@osl-online.de
09376-e1,Oberviechtach,BY,LRA Schwandorf Nebenstelle,92526,Oberviechtach,Bezirksamtstr. 5,09671-2783,zulassung@lra-sad.bayern.de
09679-e1,Ochsenfurt,BY,LRA Würzburg Nebenstelle,97199,Ochsenfurt,Kellereistr. 8,0931-902-204,-
12067-,Oder-Spree,BB,LK Oder-Spree,15517,Fürstenwalde,Hegelstr. 23 A,03361-599-3050,strassenverkehrsamt@landkreis-oder-spree.de
06413-,Offenbach(Stadt),HE,Stadt Offenbach a. Main,63065,Offenbach a.Main,Berliner Str. 100,069-8065-4222,buergerbuero@offenbach.de
08317-,Offenburg,BW,LRA Ortenaukreis,77652,Offenburg,Badstr. 20,0781-805-1225,zulassungsbehoerde@ortenaukreis.de
03403-,Oldenburg(Stadt),NI,Stadt Oldenburg,26121,Oldenburg (Oldb),Stiller Weg 10,0441-235-2758,buergerbuero-nord@stadt-oldenburg.de
05966-,Olpe,NW,LK Olpe,57462,Olpe,Westfälische Str. 75,02761-81-485,kfzsachbearbeitung@kreis-olpe.de
07339-e1,Oppenheim,RP,LK Mainz-Bingen Nebenstelle,55276,Oppenheim,Sant-Ambrogio-Ring 11,06133-9403-5261,kfz@mainz-bingen.de
12065-,Oranienburg,BB,LK Oberhavel,16515,Oranienburg,Adolf-Dechert-Str. 1,03301-601-5900,Zulassung@oberhavel.de
14730-e2,Oschatz,SN,LRA Nordsachsen Nebenstelle,04758,Oschatz,Friedrich-Naumann-Promenade 9,03435-984-0,ralf.thiele@lra-nordsachsen.de
03459-,Osnabrück(Kreis),NI,LK Osnabrück,49082,Osnabrück,Am Schölerberg 1,0541-501-20 000,zulassungsstelle@lkos.de
03404-,Osnabrück(Stadt),NI,Stadt Osnabrück,49074,Osnabrück,Natruper-Tor-Wall 2,0541-323-333-2,Kfz-zulassung@osnabrueck.de
03356-,Osterholz-Scharmbeck,NI,LK Osterholz,27711,Osterholz-Scharmbeck,Osterholzer Str. 23,04791-930-2001,zulassungsstelle@landkreis-osterholz.de
03159-e4,Osterode am Harz,NI,LK Göttingen,37520,Osterode am Harz,Bergstr. 10,05522-960-4361,zulassungsbehoerde@landkreisgoettingen.de
05774-,Paderborn,NW,LK Paderborn,33102,Paderborn,An der Talle 7,05251-308-3699,strassenverkehrsamt@kreis-paderborn.de
13076-e3,Parchim,MV,LK Ludwigslust-Parchim Nebenstelle,19370,Parchim,Putlitzer Str. 25,03871-115,Buergerservice@kreis-lup.de
09373-e1,Parseberg,BY,LRA Neumarkt i.d. Opf. Nebenstelle,92331,Parsberg,Alte-Seer-Str. 2,09492-900030,kfzmitteilungen@landkreis-neumarkt.bayern.de
13075-e1,Pasewalk,MV,LK Vorpommern-Greifswald Nebenstelle,17309,Pasewalk,An der Kürassierkaserne 9,03834-8760-3690,kfz@kreis-vg.de
09275-,Passau(Land),BY,LRA Passau,94121,Salzweg,Passauer Str. 39,0851-397-700,kfz-zulassung@lra-pa.bayern.de
09262-,Passau(Stadt),BY,Stadt Passau,94036,Passau,Vornholzstr. 40,0851-396-100,kfz-zulassungsbehoerde@passau.bayern.de
03157-,Peine,NI,LK Peine,31226,Peine,Werner-Nordmeyer-Str. 17,05171-401-5050,strassenverkehr@landkreis-peine.de
12070-,Perleberg,BB,LK Prignitz,19348,Perleberg,Berliner Str. 49,03876-713-483,zulassungen@lkprignitz.de
12070-e1,Perleberg,BB,Stadt Pritzwalk Nebenstelle,16928,Pritzwalk,Marktstraße 39,-,-
09186-,Pfaffenhofen a. d. Ilm,BY,LRA Pfaffenhofen a.d. Ilm,85276,Pfaffenhofen a.d.Ilm,Pettenkofer Str. 5,08441-275040,zulassung@lra-paf.bayern.de
09277-,Pfarrkirchen,BY,LRA Rottal-Inn,84347,Pfarrkirchen,Industriestr. 18,08561-20-800,zulassungsbehoerde@lra-pan.bayern.de
08236-,Pforzheim,BW,LK Enzkreis,75177,Pforzheim,Güterstraße 30,07231-308-9856,zulassungsbehoerde@enzkreis.de
08231-,Pforzheim Stadt,BW,Stadt Pforzheim,75172,Pforzheim,Am Mühlkanal 8,07231-393-100,zulassungsbehoerde@stadt-pforzheim.de
08437-e2,Pfullendorf,BW,LRA Sigmaringen Nebenstelle,88630,Pfullendorf,Kirchplatz 1,07552-251-150,kfz-zulassung@lrasig.de
01056-,Pinneberg,SH,LK Pinneberg,25337,Elmshorn,Kurt-Wagener-Str. 11,04121-4502-0,info.strassenverkehr@kreis-pinneberg.de
07340-,Pirmasens,RP,LK Südwestpfalz,66953,Pirmasens,Unterer Sommerwaldweg 40-42,06331-809-266,kv@lksuedwestpfalz.de
07317-,Pirmasens(Stadt),RP,Stadt Pirmasens,66954,Pirmasens,Adam-Müller-Str. 69,06331-84-2317,strassenverkehr@pirmasens.de
14628-,Pirna,SN,LK Sächsische Schweiz-Osterzgebirge,01796,Pirna,Schloßhof 2-4,03501-515-4234,kfz-zulassung@landratsamt-pirna.de
14523-,Plauen,SN,LRA Vogtlandkreis,08527,Plauen,Reichenbacher Str. 34,03741-300-2777,zulassung@vogtlandkreis.de
01057-,Plön,SH,LK Plön,24306,Plön,Hamburger Str. 17/18,04522-743-900,zulassung@kreis-ploen.de
09275-e2,Pocking,BY,LRA Passau Nebenstelle,94060,Pocking,Simbacher Str. 16,08531-2484-74,kfz-zulassung@lra-pa.bayern.de
16075-e1,Pößneck,TH,LRA Saale-Orla-Kreis Nebenstelle,07381,Pößneck,Wohlfarthstr. 3-5,03663-488-0,kfz-zulassung@lrasok.thueringen.de
12054-,Potsdam,BB,Stadt Potsdam,14469,Potsdam,Friedrich-Ebert-Str. 79-81,0331-289-1110,zulassungsstelle@rathaus.potsdam.de
12069-,Potsdam-Mittelmark,BB,LK Potsdam-Mittelmark,14806,Bad Belzig,Niemöller Str. 1,03327-739-118,fb2@potsdam-mittelmark.de
12073-,Prenzlau,BB,LK Uckermark,17291,Prenzlau,Karl-Marx-Str. 1,03984-70-1536,ordnungsamt@uckermark.de
07232-e1,Prüm,RP,LK Eifelkreis Nebenstelle,54595,Prüm,Teichstr. 16,06551-957518-19,zulassungsstelle@bitburg-pruem.de
08216-,Rastatt,BW,LRA Rastatt,76437,Rastatt,Untere Wiesen 6,07222-381-3220,amt32-kfz@landkreis-rastatt.de
08436-,Ravensburg,BW,LK Ravensburg,88212,Ravensburg,Friedenstr. 6,0751-85-1414,buergerbuero@rv.de
05562-,Recklinghausen,NW,LK Recklinghausen,45657,Recklinghausen,Kurt-Schumacher-Allee 1,02361-530,strassenverkehrsamt@kreis-re.de
09276-,Regen,BY,LRA Regen,94209,Regen,Poschetsrieder Str. 16,09921-601-0,kfzzulassung@lra-reg.bayern.de
09375-,Regensburg(Land),BY,LRA Regensburg,93059,Regensburg,Altmühlstr. 3,0941-4009-390,zulassungsstelle@lra-r.bayern.de
09362-,Regensburg(Stadt),BY,Stadt Regensburg,93053,Regensburg,Johann-Hösl-Str. 11,0941-507-1381,zulassung-stadt@regensburg.de
05120-,Remscheid,NW,Stadt Remscheid,42853,Remscheid,Elberfelder Str. 36,02191-16-00,zulassungsbehoerde@remscheid.de
01058-,Rendsburg-Eckernförde,SH,LK Rendsburg-Eckernförde,24768,Rendsburg,Kaiserstr. 8,04331-202-644,zulassungsbehoerde@kreis-rd.de
08415-,Reutlingen,BW,LK Reutlingen,72764,Reutlingen,Bismarckstr. 47,07121-480-2036,kfz-zulassung@kreis-reutlingen.de
05566-e1,Rheine,NW,LK Steinfurt Nebenstelle,48429,Rheine,Bayernstr. 58,05971-80-8250,kfz.zulassung@kreis-steinfurt.de
08336-e1,Rheinfelden,BW,LRA Lörrach Nebenstelle,79618,Rheinfelden,Karl-Fürstenberg-Str. 17,07621-410-3491,kfzzulassung@loerrach-landkreis.de
13073-e2,Ribnitz-Damgarten,MV,LK Vorpommern-Rügen Nebenstelle,18311,Ribnitz-Damgarten,Damgartener-Chaussee 40,03831-357-1000,FD45@lk-vr.de
08426-e1,Riedlingen,BW,LRA Biberach Nebenstelle,88499,Riedlingen,Krankenhausweg 3,07351-526888,zulassungsbehoerde@biberach.de
14627-e1,Riesa,SN,LK Meißen Nebenstelle,01589,Riesa,Heinrich-Heine-Str. 1,03525-5175-1541,kreisverkehrsamt@kreis-meissen.de
07333-e2,Rockenhausen,RP,LK Donnersbergkreis Nebenstelle,67806,Rockenhausen,Bezirksamtsstr. 7,06361-451-263,kontakt@rockenhausen.de
09372-e2,Roding,BY,LRA Cham Nebenstelle,93426,Roding,Landgerichtstr. 13,09461-910620,zulrod@lra.landkreis-cham.de
